Index,ID,x,y,Region,Source,Species,Presence
63,CBNA_150371,6.56029,46.1826,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
64,CBNA_152136,6.286971,45.901596,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
65,CBNA_153282,6.581215,46.279461,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
66,CBNA_153859,6.74206,46.3453,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
67,CBNA_153944,6.726725,46.351933,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
68,CBNA_154104,6.73748,46.3499,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
69,CBNA_154453,6.644634,46.300033,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
70,CBNA_158088,6.561099,46.104887,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
71,CBNA_158468,6.029247,45.896104,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
72,CBNA_158782,6.365592,46.105403,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
73,CBNA_159894,6.653008,46.34024,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
74,CBNA_162421,6.581748,46.048732,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
75,CBNA_162514,6.162751,46.136527,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
76,CBNA_163288,6.602103,46.169778,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
77,CBNA_168275,6.356919,46.344964,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
78,CBNA_168902,6.358695,46.11646,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
79,CBNA_172327,6.516423,45.974787,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
80,CBNA_246143,5.44067,44.4951,Apennines,CBNA,Dianthus sylvestris ssp longicaulis,1
81,CBNA_246145,5.25534,44.3119,Apennines,CBNA,Dianthus sylvestris ssp longicaulis,1
82,CBNA_246146,5.33859,44.4267,Apennines,CBNA,Dianthus sylvestris ssp longicaulis,1
83,CBNA_246147,5.47532,44.441,Apennines,CBNA,Dianthus sylvestris ssp longicaulis,1
84,CBNA_246148,5.28459,44.4334,Apennines,CBNA,Dianthus sylvestris ssp longicaulis,1
85,CBNA_246149,5.10779,44.3168,Apennines,CBNA,Dianthus sylvestris ssp longicaulis,1
86,CBNA_246150,5.21143,44.4476,Apennines,CBNA,Dianthus sylvestris ssp longicaulis,1
87,CBNA_250866,6.502881,46.329072,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
88,CBNA_251828,6.72825,46.0009,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
89,CBNA_252163,6.641194,45.997184,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
